kind,file,width,height,bytes,sha256
unlettered,pilot-art/unlettered/GN-CH01-P001_v1.0.png,972,1619,2664264,90ce4fa86e3ae6b2c10035b7cf955f15a3e4d1c09db29db0dc20f85656f8abea
unlettered,pilot-art/unlettered/GN-CH01-P002_v1.0.png,992,1586,3160950,b66e8ac0a240ddbf0a2c548b1e5763f8465ae1a3b68f32b6ac8e86a9aa936bb8
unlettered,pilot-art/unlettered/GN-CH01-P003_v1.0.png,992,1586,2834787,e13fd21e2748e21d8fc3b27a71293e69761c354bf0c0b2371cdd413e411325dc
unlettered,pilot-art/unlettered/GN-CH01-P004_v1.0.png,992,1586,3144290,c163b171e73240d1fcf9ba6885631d9d636d0d2f9e238ff9241a04c721f468ef
unlettered,pilot-art/unlettered/GN-CH01-P005_v1.0.png,992,1586,2766371,e4e50b2c5aecab8724cd701ed439238c74783f1fbd3b69cde53dd23b543fdd81
unlettered,pilot-art/unlettered/GN-CH01-P006_v1.0.png,992,1586,2945687,0a99a00a9b94717cffe39cf28ea075a71ce77c7cd9a353e7d330c16d00806b0a
unlettered,pilot-art/unlettered/GN-CH01-P007_v1.0.png,992,1586,3153071,430281de650584164d778ac755dc47f4668593048049b6c6ffa683c56267cb00
unlettered,pilot-art/unlettered/GN-CH01-P008_v1.0.png,992,1586,2876827,8262cd19354898ec2619e0c092febec2da777620306b7dc7a73c58d6a73d1585
lettered,pilot-art/lettered/GN-CH01-P001_lettered_v1.0.jpg,2400,3840,1615672,abb2dbfd8b5d375d3765b439a4e37a28eb40314b9ef1a362f6ae9c9b4b6b9cc4
lettered,pilot-art/lettered/GN-CH01-P002_lettered_v1.0.jpg,2400,3840,2116536,b5fa02a490b604fdd4b230f3ac28105d533119135611d9bc5e712dee757ecfd6
lettered,pilot-art/lettered/GN-CH01-P003_lettered_v1.0.jpg,2400,3840,1751745,d98fb31374301f43ba0bda06bfdcf0bd8cac0c6895713011aca5cee85d6ac930
lettered,pilot-art/lettered/GN-CH01-P004_lettered_v1.0.jpg,2400,3840,2169391,a43336997bf568e1fdcf45cb2141558c07f378722dc899193f5131bdfd954484
lettered,pilot-art/lettered/GN-CH01-P005_lettered_v1.0.jpg,2400,3840,1781929,c6058b3ababa41e403994c1639f30ec73296784b5d47f18373c59589e82870a8
lettered,pilot-art/lettered/GN-CH01-P006_lettered_v1.0.jpg,2400,3840,1910179,d4fe2c42dca77931b7679580ee41dc926eaee08876ae1eca5eecaf0fe93e8af5
lettered,pilot-art/lettered/GN-CH01-P007_lettered_v1.0.jpg,2400,3840,2129250,e309807ee75386ce00d5d762d007d3479a0285c1cc0b0085572ededd6e7ee521
lettered,pilot-art/lettered/GN-CH01-P008_lettered_v1.0.jpg,2400,3840,1854455,81af2035da665d3593cc45aa48d7f81a014ebc0453d6fcebdb02ad7123420c55
package,pilot-package/Manimekalai_Chapter_1_Pilot_English_v1.0.pdf,,,19168234,d4957ea41ca38e28975c3d1a00c46872221ecd66b04049dade585b2887e27051
